Header_line;16
location;Oslo Norway
year_of_construction;1975
floor_area;7287
number_of_users;660
building_category;Sch
dhw_heat_source;EB, GSHP
sh_heat_source;EB, GSHP
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8112

;Electricity use;Electricity import;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;C;W/m2;m/s;deg;%
;Electricity for electric boiler;Electricity imported ;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;ElBoil;ElImp;Tout;SolGlob;WindSpd;WindDir;RH
2013-11-20T02:00:00+0100;0.0;102000.0;-2.2834533691406023;0.0;0.7943654;196.98947;0.9272976
2013-11-20T03:00:00+0100;0.0;102000.0;-2.3671325683593523;1.140199528157668e-15;0.5618419;160.32661;0.9006559
2013-11-20T04:00:00+0100;0.0;102000.0;-2.1650146484374773;1.1404440759810177e-15;0.6409199;170.19365;0.6865756
2013-11-20T05:00:00+0100;0.0;106000.0;-3.029577636718728;1.1404457625177302e-15;0.9094062;108.501625;0.7376465
2013-11-20T06:00:00+0100;0.0;114000.0;-4.039862060546852;-5.701735380133263e-15;1.7919781;94.099976;0.8321289
2013-11-20T07:00:00+0100;0.0;186000.0;-4.307012939453102;0.0;2.0079908;97.827896;0.88225394
2013-11-20T08:00:00+0100;58000.0;258000.0;-5.259710693359352;4.782222222222222;1.9985566;95.00294;0.9065455
2013-11-20T09:00:00+0100;246000.0;458000.0;-5.714910888671852;55.45777777777778;2.2206144;100.298325;0.9258923
2013-11-20T10:00:00+0100;174000.0;374000.0;-4.902258300781227;111.10222222222222;1.9068716;94.333115;0.8704734
2013-11-20T11:00:00+0100;164000.0;376000.0;-3.956365966796852;146.79111111111112;2.5247595;77.037605;0.8584651
2013-11-20T12:00:00+0100;156000.0;388000.0;-3.2648681640624773;147.30666666666667;2.429674;67.179825;0.866888
2013-11-20T13:00:00+0100;138000.0;362000.0;-1.7235473632812273;115.55555555555556;2.690871;65.79776;0.87410545
2013-11-20T14:00:00+0100;138000.0;342000.0;-1.8862976074218525;59.16444444444444;3.2437472;63.1742;0.91271025
2013-11-20T15:00:00+0100;134000.0;328000.0;-1.6906799316406025;6.222222222222222;3.0075026;55.557846;0.927191
2013-11-20T16:00:00+0100;108000.0;290000.0;-2.1162780761718523;0.0;2.969259;50.12893;0.9077056
2013-11-20T17:00:00+0100;56000.0;230000.0;-2.3764709472656023;0.0;3.0903022;52.416134;0.91978914
2013-11-20T18:00:00+0100;58000.0;230000.0;-2.5733703613281023;0.0;3.4231365;54.280415;0.9249784
2013-11-20T19:00:00+0100;54000.0;232000.0;-2.3573669433593523;0.0;3.4441154;62.2006;0.9422663
2013-11-20T20:00:00+0100;16000.0;184000.0;-1.8459228515624773;0.0;3.8152008;53.849922;0.930258
2013-11-20T21:00:00+0100;14000.0;110000.0;-1.7626403808593525;1.140199528157668e-15;4.049973;51.371895;0.9249482
2013-11-20T22:00:00+0100;12000.0;106000.0;-1.7216247558593525;1.1404440759810177e-15;3.8402898;44.258045;0.93037903
2013-11-20T23:00:00+0100;16000.0;108000.0;-1.6889709472656025;1.1404457625177302e-15;3.533482;39.447506;0.9283654
2013-11-21T00:00:00+0100;16000.0;112000.0;-1.7063964843749773;1.1399523300623412e-15;3.3411715;38.937946;0.91956097
2013-11-21T01:00:00+0100;16000.0;110000.0;-1.6970275878906025;0.0;3.368609;36.236954;0.9136558
2013-11-21T02:00:00+0100;12000.0;104000.0;-1.5442871093749773;0.0;3.4831371;36.634293;0.92418474
2013-11-21T03:00:00+0100;16000.0;108000.0;-1.2888244628906025;1.140199528157668e-15;3.5543194;37.3019;0.9189051
2013-11-21T04:00:00+0100;12000.0;104000.0;-1.0931152343749773;1.1404440759810177e-15;3.6273232;30.978786;0.8705937
2013-11-21T05:00:00+0100;4000.0;104000.0;-1.0310119628906025;1.1404457625177302e-15;3.4961505;28.083588;0.8683974
2013-11-21T06:00:00+0100;0.0;124000.0;-1.4434265136718525;-5.701735380133263e-15;3.6213818;29.140097;0.856985
2013-11-21T07:00:00+0100;50000.0;258000.0;-1.8505920410156025;0.0;3.6933694;37.977634;0.84186333
2013-11-21T08:00:00+0100;106000.0;342000.0;-2.7002624511718523;3.7911111111111113;3.5855036;40.12944;0.83560693
2013-11-21T09:00:00+0100;156000.0;386000.0;-3.4726318359374773;49.07111111111111;3.1451046;37.042244;0.823171
2013-11-21T10:00:00+0100;158000.0;382000.0;-3.5689453124999773;98.42666666666666;2.969561;38.65179;0.7774709
2013-11-21T11:00:00+0100;154000.0;366000.0;-3.3884948730468523;134.75555555555556;3.365308;40.590004;0.72418773
2013-11-21T12:00:00+0100;146000.0;360000.0;-2.331823730468728;132.5688888888889;3.5585263;33.17698;0.67606115
2013-11-21T13:00:00+0100;142000.0;356000.0;-1.4727233886718525;112.32;3.3475587;32.204098;0.6547753
2013-11-21T14:00:00+0100;136000.0;340000.0;-0.6425231933593523;56.782222222222224;2.6661704;38.479233;0.7137051
2013-11-21T15:00:00+0100;134000.0;334000.0;-1.5018066406249773;5.342222222222222;2.017207;57.745384;0.778372
2013-11-21T16:00:00+0100;114000.0;310000.0;-2.1384338378906023;0.0177777777777777;1.8793874;74.97242;0.8150996
2013-11-21T17:00:00+0100;66000.0;248000.0;-3.2399353027343523;0.0;1.8907592;64.9842;0.81802934
2013-11-21T18:00:00+0100;66000.0;244000.0;-3.8699096679687273;0.0;1.83834;71.690186;0.796896
2013-11-21T19:00:00+0100;68000.0;248000.0;-4.487738037109352;0.0;1.8160152;81.520386;0.79498804
2013-11-21T20:00:00+0100;22000.0;200000.0;-4.756140136718727;0.0;1.7206093;84.275696;0.8000389
2013-11-21T21:00:00+0100;12000.0;124000.0;-4.881292724609352;1.140199528157668e-15;1.8197678;97.24828;0.7973231
2013-11-21T22:00:00+0100;12000.0;112000.0;-5.530889892578102;1.1404440759810177e-15;1.7971531;100.778694;0.79744494
2013-11-21T23:00:00+0100;6000.0;106000.0;-5.792272949218727;1.1404457625177302e-15;1.539852;105.57884;0.80714935
2013-11-22T00:00:00+0100;4000.0;104000.0;-5.825384521484352;1.1399523300623412e-15;1.4704686;99.501;0.78864026
2013-11-22T01:00:00+0100;6000.0;102000.0;-5.818945312499977;0.0;1.4906125;103.37026;0.78497803
2013-11-22T02:00:00+0100;6000.0;108000.0;-5.687628173828102;0.0;1.7197593;112.23998;0.79677296
2013-11-22T03:00:00+0100;2000.0;98000.0;-5.933203124999977;1.140199528157668e-15;1.6738359;112.55057;0.79309577
2013-11-22T04:00:00+0100;34000.0;136000.0;-6.060644531249977;1.1404440759810177e-15;1.6802843;103.78179;0.71890765
2013-11-22T05:00:00+0100;32000.0;134000.0;-6.511968994140602;1.1404457625177302e-15;1.5559886;115.47934;0.72278374
2013-11-22T06:00:00+0100;34000.0;160000.0;-6.940863037109352;-5.701735380133263e-15;1.3074307;115.4146;0.7217459
2013-11-22T07:00:00+0100;110000.0;310000.0;-7.001226806640602;0.0;1.2252576;107.48955;0.7126363
2013-11-22T08:00:00+0100;202000.0;412000.0;-7.524694824218727;3.048888888888889;1.324753;109.31133;0.7140856
2013-11-22T09:00:00+0100;190000.0;408000.0;-7.238989257812477;50.63555555555556;1.2627953;110.29947;0.71500206
2013-11-22T10:00:00+0100;194000.0;404000.0;-6.552587890624977;107.50222222222222;1.4253286;107.007645;0.63298565
2013-11-22T11:00:00+0100;184000.0;382000.0;-6.092169189453102;140.64888888888888;1.0688827;109.13277;0.6248685
2013-11-22T12:00:00+0100;174000.0;370000.0;-4.263861083984352;141.45777777777778;0.7319212;117.31946;0.62349534
2013-11-22T13:00:00+0100;154000.0;348000.0;-3.3457092285156023;108.46222222222222;0.47957;183.17339;0.6286682
2013-11-22T14:00:00+0100;162000.0;306000.0;-2.8988098144531023;53.297777777777775;0.99657124;215.06233;0.7063666
2013-11-22T15:00:00+0100;164000.0;296000.0;-2.5772460937499773;4.275555555555556;1.0577651;217.93634;0.8030766
2013-11-22T16:00:00+0100;124000.0;236000.0;-3.5141357421874773;0.0;0.8420073;177.12245;0.7829813
2013-11-22T17:00:00+0100;80000.0;178000.0;-4.124639892578102;0.0;1.0005398;182.00296;0.7921212
2013-11-22T18:00:00+0100;80000.0;174000.0;-4.568334960937477;0.0;0.9630108;194.08153;0.8114387
2013-11-22T19:00:00+0100;88000.0;184000.0;-4.285864257812477;0.0;1.0259744;193.60294;0.83383864
2013-11-22T20:00:00+0100;40000.0;138000.0;-4.670843505859352;0.0;1.3002027;192.94313;0.818473
2013-11-22T21:00:00+0100;22000.0;126000.0;-5.210058593749977;1.140199528157668e-15;1.3435754;200.0536;0.8174964
2013-11-22T22:00:00+0100;24000.0;128000.0;-5.453192138671852;1.1404440759810177e-15;1.0698016;198.32828;0.870841
2013-11-22T23:00:00+0100;20000.0;118000.0;-5.739508056640602;1.1404457625177302e-15;1.2588083;191.70018;0.87375534
2013-11-23T00:00:00+0100;22000.0;118000.0;-5.432623291015602;1.1399523300623412e-15;1.4385543;196.6485;0.86209774
2013-11-23T01:00:00+0100;22000.0;122000.0;-5.580389404296852;0.0;1.3578178;206.73442;0.8359595
2013-11-23T02:00:00+0100;20000.0;122000.0;-5.678381347656227;0.0;1.1815673;197.12694;0.89540845
2013-11-23T03:00:00+0100;22000.0;120000.0;-5.470983886718727;1.140199528157668e-15;1.1900568;202.1916;0.9014048
2013-11-23T04:00:00+0100;22000.0;118000.0;-4.646826171874977;1.1404440759810177e-15;1.4369755;201.121;0.8543165
2013-11-23T05:00:00+0100;22000.0;118000.0;-4.568426513671852;1.1404457625177302e-15;1.4453229;203.48701;0.87467164
2013-11-23T06:00:00+0100;20000.0;116000.0;-4.391607666015602;-5.701735380133263e-15;1.2802014;197.79274;0.9178998
2013-11-23T07:00:00+0100;26000.0;122000.0;-4.700689697265602;0.0;1.2803328;192.97295;0.92317855
2013-11-23T08:00:00+0100;20000.0;116000.0;-4.477239990234352;2.1444444444444444;1.3824935;197.93687;0.9300148
2013-11-23T09:00:00+0100;24000.0;122000.0;-4.529394531249977;44.7;1.4387071;203.0647;0.9354317
2013-11-23T10:00:00+0100;22000.0;118000.0;-4.237921142578102;98.48;1.2925797;183.57674;0.9537731
2013-11-23T11:00:00+0100;8000.0;106000.0;-3.9298156738281023;130.5511111111111;1.3637023;206.35287;0.94345826
2013-11-23T12:00:00+0100;10000.0;104000.0;-3.441320800781228;132.07111111111112;1.326142;224.62358;0.9096598
2013-11-23T13:00:00+0100;12000.0;108000.0;-2.8094238281249773;102.24;1.6860371;223.11566;0.8776011
2013-11-23T14:00:00+0100;4000.0;102000.0;-2.8026184082031023;49.63555555555556;2.1912873;228.6188;0.8670572
2013-11-23T15:00:00+0100;4000.0;102000.0;-2.8602050781249773;3.6622222222222223;2.384622;227.97632;0.8996193
2013-11-23T16:00:00+0100;6000.0;114000.0;-2.8673767089843523;0.0;2.5829327;222.82654;0.9340132
2013-11-23T17:00:00+0100;4000.0;112000.0;-3.0524658203124773;0.0;2.595611;219.33685;0.94222224
2013-11-23T18:00:00+0100;8000.0;114000.0;-3.3217224121093523;0.0;2.7192361;210.6464;0.9424356
2013-11-23T19:00:00+0100;10000.0;112000.0;-3.4306091308593523;0.0;2.4811852;212.11627;0.9458536
2013-11-23T20:00:00+0100;8000.0;108000.0;-3.790533447265602;0.0;1.6502135;208.66849;0.93297464
2013-11-23T21:00:00+0100;2000.0;104000.0;-3.4500793457031023;1.140199528157668e-15;0.74734163;180.66963;0.90486807
2013-11-23T22:00:00+0100;0.0;104000.0;-3.7153686523437273;1.1404440759810177e-15;0.96554077;285.12268;0.9481118
2013-11-23T23:00:00+0100;14000.0;110000.0;-2.618322753906228;1.1404457625177302e-15;3.6500158;341.7941;0.7713231
2013-11-24T00:00:00+0100;10000.0;104000.0;-3.004797363281228;1.1409391949731193e-15;1.8536539;3.7529218;0.95915926
2013-11-24T01:00:00+0100;12000.0;108000.0;-3.4480957031249773;0.0;1.950009;338.35706;0.81069124
2013-11-24T02:00:00+0100;6000.0;104000.0;-3.7091430664062273;0.0;2.7989664;322.16718;0.722541
2013-11-24T03:00:00+0100;14000.0;108000.0;-3.5131896972656023;1.1411863930684458e-15;2.183231;305.0574;0.7370979
2013-11-24T04:00:00+0100;2000.0;102000.0;-4.011480712890602;1.1404440759810177e-15;2.31822;327.1703;0.6491459
2013-11-24T05:00:00+0100;2000.0;102000.0;-4.710699462890602;1.1409391949731193e-15;1.92942;326.73068;0.6539372
2013-11-24T06:00:00+0100;0.0;106000.0;-5.277929687499977;-5.704202542410207e-15;1.6656625;302.5386;0.7313444
2013-11-24T07:00:00+0100;0.0;102000.0;-5.108129882812477;0.0;1.2513129;246.18158;0.69078654
2013-11-24T08:00:00+0100;22000.0;120000.0;-5.732031249999977;1.6488888888888888;2.409591;236.16824;0.7228764
2013-11-24T09:00:00+0100;42000.0;134000.0;-5.545751953124977;43.653333333333336;2.8182497;216.58514;0.77199477
2013-11-24T10:00:00+0100;32000.0;130000.0;-5.649053955078102;98.32888888888888;1.9853404;229.41788;0.7085169
2013-11-24T11:00:00+0100;20000.0;118000.0;-4.444067382812477;130.89777777777778;2.1317906;220.71272;0.67413855
2013-11-24T12:00:00+0100;6000.0;116000.0;-2.4496826171874773;132.16;2.8946886;228.22017;0.7083177
2013-11-24T13:00:00+0100;16000.0;118000.0;-1.2002624511718525;101.77777777777776;2.9976606;232.21254;0.69765216
2013-11-24T14:00:00+0100;8000.0;106000.0;-0.3118652343749772;48.48;2.2614346;235.38322;0.66580737
2013-11-24T15:00:00+0100;12000.0;104000.0;-0.3490356445312272;3.2;2.558885;246.33812;0.6810209
2013-11-24T16:00:00+0100;10000.0;106000.0;-1.3423828124999773;0.0;2.1812444;232.80498;0.685187
2013-11-24T17:00:00+0100;10000.0;108000.0;-2.117834472656228;0.0;2.2787547;252.58365;0.7083644
2013-11-24T18:00:00+0100;12000.0;104000.0;-2.6246398925781023;0.0;2.2232585;247.44044;0.75627714
2013-11-24T19:00:00+0100;12000.0;106000.0;-2.498083496093728;0.0;2.3539846;244.31581;0.77219164
2013-11-24T20:00:00+0100;14000.0;106000.0;-2.7076477050781023;0.0;2.2644396;247.63463;0.81705195
2013-11-24T21:00:00+0100;10000.0;106000.0;-2.838049316406228;1.1439002715730851e-15;2.0883384;241.60905;0.8033651
2013-11-24T22:00:00+0100;10000.0;108000.0;-3.6903442382812273;1.1438981031687401e-15;1.9937743;284.81696;0.74370486
2013-11-24T23:00:00+0100;12000.0;106000.0;-2.5762390136718523;1.1438997897054529e-15;3.820976;325.3953;0.7096775
2013-11-25T00:00:00+0100;14000.0;108000.0;-2.8306335449218523;1.1438997897054529e-15;2.3064423;332.13068;0.7240218
2013-11-25T01:00:00+0100;12000.0;104000.0;-2.447424316406228;0.0;2.6509976;319.08093;0.7477034
2013-11-25T02:00:00+0100;0.0;94000.0;-1.7267211914062273;0.0;2.9717984;320.70416;0.71036404
2013-11-25T03:00:00+0100;0.0;92000.0;-1.7974914550781025;1.1441469878007797e-15;3.0485482;329.86673;0.7147128
2013-11-25T04:00:00+0100;0.0;96000.0;-1.6776489257812273;1.1434046707133513e-15;2.4930086;337.17444;0.6989974
2013-11-25T05:00:00+0100;0.0;108000.0;-2.0207275390624773;1.1438997897054529e-15;2.97061;347.05435;0.7007364
2013-11-25T06:00:00+0100;0.0;118000.0;-2.7804016113281023;-5.719005516071876e-15;2.3463004;25.37529;0.7370522
2013-11-25T07:00:00+0100;42000.0;230000.0;-3.4541992187499773;0.0;1.729025;43.757004;0.76134413
2013-11-25T08:00:00+0100;186000.0;398000.0;-3.631781005859352;1.0844444444444443;1.0790532;58.88797;0.80393136
2013-11-25T09:00:00+0100;158000.0;380000.0;-3.838629150390602;33.34888888888889;0.96518385;267.69153;0.8205027
2013-11-25T10:00:00+0100;144000.0;374000.0;-2.7122558593749773;74.08;0.84089136;46.33031;0.6739269
2013-11-25T11:00:00+0100;136000.0;344000.0;-2.8616394042968523;104.07111111111112;0.9458185;103.02756;0.7041085
2013-11-25T12:00:00+0100;126000.0;352000.0;-1.5725158691406025;118.68444444444444;1.3219626;3.75965;0.6767339
2013-11-25T13:00:00+0100;130000.0;342000.0;-0.5309204101562273;96.03555555555556;2.3112516;357.02588;0.68050265
2013-11-25T14:00:00+0100;122000.0;338000.0;-1.2796997070312273;44.62222222222222;1.2301813;324.2462;0.7136147
2013-11-25T15:00:00+0100;124000.0;336000.0;-1.878454589843728;2.4266666666666667;1.2583536;343.78595;0.7303386
2013-11-25T16:00:00+0100;108000.0;308000.0;-1.8064941406249773;-0.0088888888888888;0.7327753;104.93195;0.6905588
2013-11-25T17:00:00+0100;52000.0;242000.0;-2.3757080078124773;0.0;0.6322864;156.17188;0.71784127
2013-11-25T18:00:00+0100;52000.0;234000.0;-3.5055908203124773;0.0;0.3655436;88.21381;0.77542794
2013-11-25T19:00:00+0100;64000.0;246000.0;-2.684362792968728;0.0;0.7576013;116.40213;0.73924947
2013-11-25T20:00:00+0100;26000.0;212000.0;-3.660467529296852;0.0;0.82673156;179.63495;0.77808326
2013-11-25T21:00:00+0100;8000.0;116000.0;-4.020452880859352;1.1454391158565662e-15;1.3599952;207.27533;0.80280256
2013-11-25T22:00:00+0100;12000.0;110000.0;-3.9718383789062273;1.1451914358936074e-15;1.1844046;218.55043;0.7357401
2013-11-25T23:00:00+0100;4000.0;106000.0;-4.625280761718727;1.1451911949597913e-15;1.4544392;188.12314;0.85451436
2013-11-26T00:00:00+0100;10000.0;108000.0;-4.051855468749977;1.1453106981325808e-15;1.0343914;212.64694;0.8237831
