Header_line;17
location;Oslo Norway
year_of_construction;1979
floor_area;8631
number_of_users;400
building_category;Sch
energy_label;B
dhw_heat_source;EB
sh_heat_source;ASHP, EB
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8138

;Electricity import;Electricity use;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;C;W/m2;m/s;deg;%
;Electricity imported ;Electricity for electric boiler;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;ElImp;ElBoil;Tout;SolGlob;WindSpd;WindDir;RH
2016-01-01T00:00:00+0100;88800.0;52800.0;1.3419128417968975;1.5777934514460413e-14;2.6307797;85.39477;0.9111076
2016-01-01T01:00:00+0100;85600.0;51600.0;1.3759094238281475;1.58410938687502e-14;2.415444;80.296844;0.92230767
2016-01-01T02:00:00+0100;79600.0;51600.0;1.3530212402343975;1.59437278194711e-14;2.241858;65.1321;0.94876647
2016-01-01T03:00:00+0100;92400.0;52400.0;1.2942749023437727;1.6062147753823394e-14;3.173344;77.47937;0.93282074
2016-01-01T04:00:00+0100;90800.0;50800.0;1.4722534179687727;1.6141096946685627e-14;2.9135768;74.28886;0.9486895
2016-01-01T05:00:00+0100;87200.0;51200.0;1.6144348144531475;1.6196318977337556e-14;2.8698447;65.05023;0.93776447
2016-01-01T06:00:00+0100;102000.0;60000.0;1.5290161132812727;1.624373475234759e-14;2.5738702;58.843628;0.9650623
2016-01-01T07:00:00+0100;94000.0;58000.0;1.7893005371093975;-9.650706160139561e-14;3.2147706;64.43206;0.92487043
2016-01-01T08:00:00+0100;122800.0;60800.0;1.918511962890648;0.0;3.478725;63.70393;0.92828864
2016-01-01T09:00:00+0100;145600.0;59600.0;2.0266052246093977;0.4222222222222222;2.9561954;69.54384;0.9226435
2016-01-01T10:00:00+0100;141200.0;57200.0;2.149346923828148;4.3244444444444445;2.6228275;62.055107;0.95001745
2016-01-01T11:00:00+0100;138800.0;56800.0;2.2271667480468977;14.595555555555556;3.216801;60.058056;0.94727165
2016-01-01T12:00:00+0100;136400.0;58400.0;2.4332519531250227;12.586666666666666;3.6220422;68.917656;0.93843687
2016-01-01T13:00:00+0100;132800.0;56800.0;2.6882568359375227;5.475555555555555;2.763153;96.13547;0.9522765
2016-01-01T14:00:00+0100;137600.0;57600.0;2.7016845703125227;3.431111111111111;3.904287;105.21991;0.92906797
2016-01-01T15:00:00+0100;136400.0;56400.0;2.8927856445312727;0.0355555555555555;3.06641;100.67457;0.9196382
2016-01-01T16:00:00+0100;138800.0;56800.0;2.7871948242187727;0.0;2.5537825;50.186653;0.9514839
2016-01-01T17:00:00+0100;138400.0;46400.0;2.6869140625000227;0.0;3.2279608;60.286655;0.93506575
2016-01-01T18:00:00+0100;140000.0;50000.0;2.6676879882812727;0.0;3.1202276;58.086464;0.92192787
2016-01-01T19:00:00+0100;141600.0;51600.0;2.5186706542968977;0.0;2.6827972;57.164066;0.92120993
2016-01-01T20:00:00+0100;95600.0;49600.0;1.9051452636718973;0.0;2.852781;60.03788;0.9281681
2016-01-01T21:00:00+0100;80000.0;50000.0;1.9233032226562727;1.584109001380914e-14;3.0131783;60.828712;0.92499465
2016-01-01T22:00:00+0100;83200.0;51200.0;1.6907897949218975;1.5845037473452253e-14;3.1115978;61.69129;0.931998
2016-01-01T23:00:00+0100;82800.0;50800.0;1.6923156738281475;1.5856837448029954e-14;3.1456165;63.804756;0.9362855
2016-01-02T00:00:00+0100;91200.0;51200.0;1.5483642578125227;1.5888463384467538e-14;3.2939637;64.932106;0.92926615
2016-01-02T01:00:00+0100;89600.0;53600.0;1.5377441406250227;1.5904253223039984e-14;3.6692019;62.221386;0.9103298
2016-01-02T02:00:00+0100;96400.0;54400.0;1.4931274414062727;1.5912148142326212e-14;3.2007968;68.346664;0.89937377
2016-01-02T03:00:00+0100;92800.0;56800.0;1.3042846679687727;1.593188158560071e-14;2.9329777;67.53291;0.8978484
2016-01-02T04:00:00+0100;89600.0;51600.0;1.1771789550781475;1.595951380310249e-14;3.6975844;69.72037;0.8829873
2016-01-02T05:00:00+0100;92400.0;52400.0;1.1534667968750227;1.6006840914468195e-14;3.528354;78.88669;0.8660494
2016-01-02T06:00:00+0100;88000.0;54000.0;0.9736267089843976;1.6062151608764454e-14;3.4010017;89.67325;0.84728026
2016-01-02T07:00:00+0100;89200.0;53200.0;0.6922546386718977;-9.574914934991817e-14;3.7846205;99.262085;0.82983905
2016-01-02T08:00:00+0100;116800.0;56800.0;-0.0683349609374772;0.0;3.8020496;109.36633;0.7961164
2016-01-02T09:00:00+0100;145600.0;55600.0;-0.6671508789062273;1.4533333333333334;4.990032;88.09056;0.8015943
2016-01-02T10:00:00+0100;160400.0;56400.0;-1.1600097656249773;15.915555555555557;5.2561774;86.56851;0.75883937
2016-01-02T11:00:00+0100;164400.0;58400.0;-1.6574157714843525;28.08888888888889;4.7460985;84.0826;0.71689373
2016-01-02T12:00:00+0100;148800.0;56800.0;-1.9623474121093525;30.24;4.194979;87.540596;0.7165436
2016-01-02T13:00:00+0100;146400.0;56400.0;-1.9733642578124773;31.857777777777777;4.3744216;116.88476;0.723944
2016-01-02T14:00:00+0100;160400.0;60400.0;-2.0950683593749773;8.817777777777778;4.297419;121.302605;0.68982536
2016-01-02T15:00:00+0100;161600.0;59600.0;-2.4719299316406023;0.1422222222222222;2.9657135;128.85928;0.8074705
2016-01-02T16:00:00+0100;150400.0;58400.0;-2.6216491699218523;0.0;4.8892922;92.626656;0.73200047
2016-01-02T17:00:00+0100;148400.0;58400.0;-2.7083801269531023;0.0;4.75749;89.91386;0.7394463
2016-01-02T18:00:00+0100;152800.0;60800.0;-2.9676574707031023;0.0;4.4913445;85.95634;0.75884
2016-01-02T19:00:00+0100;148800.0;60800.0;-3.3754638671874773;0.0;3.956385;75.22453;0.78639716
2016-01-02T20:00:00+0100;133600.0;59600.0;-3.7043823242187273;0.0;3.721977;74.94362;0.8014575
2016-01-02T21:00:00+0100;100400.0;60400.0;-3.9812377929687273;1.6093727430968292e-14;3.8483617;94.3389;0.7811326
2016-01-02T22:00:00+0100;99600.0;63600.0;-4.098455810546852;1.6097674890611398e-14;4.4414043;83.442;0.7852674
2016-01-02T23:00:00+0100;104400.0;62400.0;-4.403631591796852;1.6101579945902874e-14;5.221753;89.8867;0.7791487
2016-01-03T00:00:00+0100;99200.0;59200.0;-4.548468017578102;1.6093731285909342e-14;4.368838;80.44648;0.79140145
2016-01-03T01:00:00+0100;100800.0;62800.0;-4.639288330078102;1.6093731285909342e-14;4.3716617;77.63745;0.7816662
2016-01-03T02:00:00+0100;102800.0;62800.0;-4.733221435546852;1.6093731285909342e-14;4.20929;78.64027;0.7900892
2016-01-03T03:00:00+0100;101600.0;61600.0;-4.777288818359352;1.6117126923188688e-14;4.313629;82.964745;0.7827188
2016-01-03T04:00:00+0100;101600.0;63600.0;-5.040258789062477;1.610679182621292e-14;4.564669;77.592514;0.8195379
2016-01-03T05:00:00+0100;105600.0;65600.0;-4.995886230468727;1.611859180079062e-14;4.556206;76.49363;0.8058816
2016-01-03T06:00:00+0100;106000.0;66000.0;-4.988134765624977;1.6109582803538716e-14;4.309085;69.42902;0.80855197
2016-01-03T07:00:00+0100;100400.0;64400.00000000001;-4.964361572265602;-9.667112789281241e-14;3.9288173;65.55252;0.8059888
2016-01-03T08:00:00+0100;128800.0;62800.0;-5.009344482421852;0.0;3.8577342;64.262985;0.8130997
2016-01-03T09:00:00+0100;170400.0;62400.0;-5.073858642578102;2.631111111111111;3.7972724;75.74593;0.81973714
2016-01-03T10:00:00+0100;171600.0;61600.0;-4.933142089843727;20.95111111111111;3.9633012;73.10093;0.8206976
2016-01-03T11:00:00+0100;168800.0;62800.0;-4.817663574218727;38.782222222222224;3.7550068;73.43214;0.8069799
2016-01-03T12:00:00+0100;166400.0;62400.0;-4.588110351562477;37.83111111111111;3.744383;76.59549;0.78941745
2016-01-03T13:00:00+0100;167200.0;61200.0;-4.561743164062477;30.826666666666668;3.4120302;82.40255;0.78235304
2016-01-03T14:00:00+0100;164000.0;62000.0;-4.573217773437477;12.16;3.4288466;80.93669;0.7695052
2016-01-03T15:00:00+0100;172000.0;64000.0;-4.758612060546852;0.64;2.9864364;76.63755;0.7415969
2016-01-03T16:00:00+0100;169200.0;63200.0;-5.063330078124977;0.0;3.388104;68.25478;0.80932945
2016-01-03T17:00:00+0100;170800.0;62800.0;-5.186743164062477;0.0;3.0842657;70.06316;0.8189585
2016-01-03T18:00:00+0100;166400.0;62400.0;-5.371618652343727;0.0;2.822208;60.218204;0.8271523
2016-01-03T19:00:00+0100;173600.0;63600.0;-5.294256591796852;0.0;3.1642168;63.171474;0.8252303
2016-01-03T20:00:00+0100;151600.0;63600.0;-5.530767822265602;0.0;3.1412504;62.925922;0.8338041
2016-01-03T21:00:00+0100;120800.0;64800.0;-5.604650878906227;1.5965049498461382e-14;3.241861;68.03093;0.8427321
2016-01-03T22:00:00+0100;119200.0;63200.0;-5.673376464843727;1.597294056280655e-14;2.799663;59.57051;0.8452486
2016-01-03T23:00:00+0100;116800.0;64800.0;-5.896032714843727;1.5965034078697157e-14;2.6744022;64.17052;0.8421967
2016-01-04T00:00:00+0100;119600.0;63600.0;-6.002203369140602;1.5980796932682198e-14;2.3502514;67.185974;0.8437387
