hour,ElImp
0,0.28244917193595287
1,0.27933334060503884
2,0.28388318395020756
3,0.2845288418397643
4,0.2936418198257701
5,0.3023678338486705
6,0.31815918976826146
7,0.3616181277085371
8,0.41355081956291956
9,0.4250073485069273
10,0.41429704255106053
11,0.39759355291058174
12,0.38558632201501847
13,0.38017100531681164
14,0.37708630040162217
15,0.3637866411317298
16,0.34051804981412825
17,0.3264326875543851
18,0.3113847121554227
19,0.31156232717090004
20,0.308351785487323
21,0.3040105025824299
22,0.29064528552719787
23,0.28817036025231857
