hour,ElImp
0,0.1628459603689319
1,0.08209859291478847
2,0.06064672452098693
3,0.05308219184782483
4,0.05009784741634454
5,0.06396421588107676
6,0.146773366927824
7,0.2735649054487231
8,0.3813158140604459
9,0.4356583729969017
10,0.4195904389735153
11,0.40700307528678403
12,0.39415245558053397
13,0.3929340229981724
14,0.45790466876439695
15,0.5640783711406899
16,0.6658699096347879
17,0.7072197372672515
18,0.7539698071536007
19,0.8038579816351945
20,0.8067980617545059
21,0.7265795359817198
22,0.5679014071633045
23,0.34458810927204797
