hour,ElImp
0,0.33253897021795126
1,0.27957151987816437
2,0.25303665228480743
3,0.23744929793222064
4,0.28065238294166656
5,0.3268424489299015
6,0.4309968051446186
7,0.6111315517966389
8,0.7056210746544864
9,0.6810993494566548
10,0.661090262947224
11,0.6253640941416151
12,0.6110467837384073
13,0.5945433035434111
14,0.6030880225289079
15,0.5961489484254634
16,0.5842222836586427
17,0.5829742073802152
18,0.5981928842048355
19,0.5941186412676565
20,0.5894097849691806
21,0.5441256709325776
22,0.5170552160528523
23,0.4399276482806078
