hour,ElImp
0,0.2111747065087863
1,0.20732494616215627
2,0.21842145477768812
3,0.23818528605390865
4,0.26115024732567943
5,0.298300127296798
6,0.34257230540221745
7,0.3855137681013092
8,0.4475576103378855
9,0.457956773272149
10,0.4532423328447539
11,0.4441817904702668
12,0.4311818532016361
13,0.4080886238320346
14,0.3864850948078994
15,0.3643375681440535
16,0.34374412044611724
17,0.3396031264137836
18,0.32341626592427497
19,0.31278268852940233
20,0.27648736465232593
21,0.24882693349257395
22,0.23261243541855386
23,0.21868763512963213
