hour,ElImp
0,0.12517657153274162
1,0.12560278697518412
2,0.13173822285593
3,0.13617268426606352
4,0.1460253960431081
5,0.1691776391469911
6,0.22363289421275695
7,0.27302788806366846
8,0.312847776475505
9,0.31784226618466854
10,0.3109140890591658
11,0.29625939337619434
12,0.29257364663478896
13,0.2790710515894073
14,0.2580231787226139
15,0.2304989136309092
16,0.1853515330935509
17,0.1590623407445464
18,0.14812189329888845
19,0.14134152381910606
20,0.13239400807913046
21,0.12569858852051538
22,0.11558874452231976
23,0.11839959885587745
