hour,ElImp
0,0.3638321588739156
1,0.3591431080143016
2,0.37645439205406256
3,0.3994138133741516
4,0.42734631895683656
5,0.4747597359738945
6,0.5352436707862173
7,0.5861685989756892
8,0.6615541921249589
9,0.6671786394144709
10,0.6565270440482257
11,0.6440604340330318
12,0.627073383837261
13,0.602926530575765
14,0.5799666514484617
15,0.5542229800686933
16,0.5296139696281205
17,0.5224550373259174
18,0.4995510423422542
19,0.48342936551286525
20,0.4336685739065845
21,0.402241614058975
22,0.3885189322029523
23,0.371705118363082
