hour,ElImp
0,0.15653234060236176
1,0.1527583886746407
2,0.15144472570111056
3,0.1513492332281463
4,0.15328139198105606
5,0.1768204516495183
6,0.26786014584686624
7,0.38119002462814355
8,0.4659895008927295
9,0.5071174523178401
10,0.5198124730700264
11,0.5281176136186326
12,0.5319540438990086
13,0.526553782512175
14,0.5116672186316561
15,0.48097229220930576
16,0.42086730492660945
17,0.35045138169245127
18,0.29958554163246415
19,0.25967789161415883
20,0.22461943138707266
21,0.19839160869773234
22,0.1802540199414588
23,0.16604679315597443
