hour,ElImp
0,0.28921587644931607
1,0.2882769771870766
2,0.2897714307103507
3,0.28826923707166596
4,0.29549321858979444
5,0.31998605925363627
6,0.41815438292597323
7,0.5134133085208178
8,0.5772538051965168
9,0.6084826490529793
10,0.6279211366056464
11,0.6191131699110701
12,0.6087935833034537
13,0.5998868975310493
14,0.5905961227895482
15,0.5849358101322635
16,0.5475399181765359
17,0.5074611031434427
18,0.479319039890241
19,0.4496573345500566
20,0.3948339308099363
21,0.3397862179439854
22,0.30298544375588843
23,0.2951507655684237
