TimeStamp;Tout;ElImp
1900-01-01 00:00:00+01:00;-0.8;22.4542547
1900-01-01 01:00:00+01:00;-0.7;22.4542547
1900-01-01 02:00:00+01:00;-0.3;22.2146646
1900-01-01 03:00:00+01:00;-0.3;22.0972785
1900-01-01 04:00:00+01:00;-0.8;22.1281524
1900-01-01 05:00:00+01:00;-0.5;22.276421
1900-01-01 06:00:00+01:00;-0.7;23.2394556
1900-01-01 07:00:00+01:00;-0.6;26.288354
1900-01-01 08:00:00+01:00;-0.7;29.97298
1900-01-01 09:00:00+01:00;-1.2;32.174393
1900-01-01 10:00:00+01:00;-1.7;32.89852
1900-01-01 11:00:00+01:00;-1.9;33.0606
1900-01-01 12:00:00+01:00;-2.4;33.0593
1900-01-01 13:00:00+01:00;-2.3;33.15324
1900-01-01 14:00:00+01:00;-2;32.84566
1900-01-01 15:00:00+01:00;-0.3;31.645291
1900-01-01 16:00:00+01:00;0;29.587873
1900-01-01 17:00:00+01:00;0.2;27.654044
1900-01-01 18:00:00+01:00;0.7;26.698736
1900-01-01 19:00:00+01:00;1.1;25.907384
1900-01-01 20:00:00+01:00;1.3;25.25825
1900-01-01 21:00:00+01:00;1.6;24.678617
1900-01-01 22:00:00+01:00;1.8;24.010261
1900-01-01 23:00:00+01:00;2;23.2652851
1900-01-02 00:00:00+01:00;2.6;22.4542547
1900-01-02 01:00:00+01:00;3.1;22.4542547
1900-01-02 02:00:00+01:00;3.2;22.2146646
1900-01-02 03:00:00+01:00;2.7;22.0972785
1900-01-02 04:00:00+01:00;2.9;22.1281524
1900-01-02 05:00:00+01:00;3;22.276421
1900-01-02 06:00:00+01:00;3.4;23.2394556
1900-01-02 07:00:00+01:00;3.3;26.288354
1900-01-02 08:00:00+01:00;3;29.97298
1900-01-02 09:00:00+01:00;2.6;32.174393
1900-01-02 10:00:00+01:00;2.5;32.89852
1900-01-02 11:00:00+01:00;2.7;33.0606
1900-01-02 12:00:00+01:00;2.6;33.0593
1900-01-02 13:00:00+01:00;2;33.15324
1900-01-02 14:00:00+01:00;1.8;32.84566
1900-01-02 15:00:00+01:00;2.3;31.645291
1900-01-02 16:00:00+01:00;3.4;29.587873
1900-01-02 17:00:00+01:00;3.5;27.654044
1900-01-02 18:00:00+01:00;2.5;26.698736
1900-01-02 19:00:00+01:00;1.7;25.907384
1900-01-02 20:00:00+01:00;2.1;25.25825
1900-01-02 21:00:00+01:00;2;24.678617
1900-01-02 22:00:00+01:00;2.1;24.010261
1900-01-02 23:00:00+01:00;2.1;23.2652851
1900-01-03 00:00:00+01:00;1.9;22.4542547
1900-01-03 01:00:00+01:00;2.2;22.4542547
1900-01-03 02:00:00+01:00;1.6;22.2146646
1900-01-03 03:00:00+01:00;1.7;22.0972785
1900-01-03 04:00:00+01:00;1.6;22.1281524
1900-01-03 05:00:00+01:00;1.3;22.276421
1900-01-03 06:00:00+01:00;1;23.2394556
1900-01-03 07:00:00+01:00;1.4;26.288354
1900-01-03 08:00:00+01:00;1.5;29.97298
1900-01-03 09:00:00+01:00;1.6;32.174393
1900-01-03 10:00:00+01:00;1.4;32.89852
1900-01-03 11:00:00+01:00;1.1;33.0606
1900-01-03 12:00:00+01:00;1.2;33.0593
1900-01-03 13:00:00+01:00;0.9;33.15324
1900-01-03 14:00:00+01:00;1.2;32.84566
1900-01-03 15:00:00+01:00;1;31.645291
1900-01-03 16:00:00+01:00;0.6;29.587873
1900-01-03 17:00:00+01:00;0.3;27.654044
1900-01-03 18:00:00+01:00;0.6;26.698736
1900-01-03 19:00:00+01:00;0.5;25.907384
1900-01-03 20:00:00+01:00;0.6;25.25825
1900-01-03 21:00:00+01:00;0.4;24.678617
1900-01-03 22:00:00+01:00;0;24.010261
1900-01-03 23:00:00+01:00;-0.3;23.2652851
1900-01-04 00:00:00+01:00;-0.1;22.4542547
1900-01-04 01:00:00+01:00;0;22.4542547
1900-01-04 02:00:00+01:00;0.3;22.2146646
1900-01-04 03:00:00+01:00;0.3;22.0972785
1900-01-04 04:00:00+01:00;0.3;22.1281524
1900-01-04 05:00:00+01:00;0.1;22.276421
1900-01-04 06:00:00+01:00;0.2;23.2394556
1900-01-04 07:00:00+01:00;0.1;26.288354
1900-01-04 08:00:00+01:00;0.7;29.97298
1900-01-04 09:00:00+01:00;-0.1;32.174393
1900-01-04 10:00:00+01:00;-0.3;32.89852
1900-01-04 11:00:00+01:00;-1;33.0606
1900-01-04 12:00:00+01:00;-0.3;33.0593
1900-01-04 13:00:00+01:00;-1;33.15324
1900-01-04 14:00:00+01:00;-1.2;32.84566
1900-01-04 15:00:00+01:00;-1.2;31.645291
1900-01-04 16:00:00+01:00;-4.3;29.587873
1900-01-04 17:00:00+01:00;-3.5;27.654044
1900-01-04 18:00:00+01:00;-3;26.698736
1900-01-04 19:00:00+01:00;-5.5;25.907384
1900-01-04 20:00:00+01:00;-2.1;25.25825
1900-01-04 21:00:00+01:00;-0.7;24.678617
