TimeStamp;Tout;ElImp
1900-01-01 00:00:00+01:00;-0.8;33.27424441
1900-01-01 01:00:00+01:00;-0.7;31.7036528
1900-01-01 02:00:00+01:00;-0.3;30.65452191
1900-01-01 03:00:00+01:00;-0.3;30.47368406
1900-01-01 04:00:00+01:00;-0.8;31.61807393
1900-01-01 05:00:00+01:00;-0.5;34.02300798
1900-01-01 06:00:00+01:00;-0.7;44.08994882
1900-01-01 07:00:00+01:00;-0.6;54.6823675
1900-01-01 08:00:00+01:00;-0.7;50.10627097
1900-01-01 09:00:00+01:00;-1.2;44.77921936
1900-01-01 10:00:00+01:00;-1.7;43.17437693
1900-01-01 11:00:00+01:00;-1.9;41.57576826
1900-01-01 12:00:00+01:00;-2.4;40.73876662
1900-01-01 13:00:00+01:00;-2.3;40.23083071
1900-01-01 14:00:00+01:00;-2;39.55456492
1900-01-01 15:00:00+01:00;-0.3;38.5106051
1900-01-01 16:00:00+01:00;0;38.87009419
1900-01-01 17:00:00+01:00;0.2;40.13723931
1900-01-01 18:00:00+01:00;0.7;40.98381778
1900-01-01 19:00:00+01:00;1.1;39.52943086
1900-01-01 20:00:00+01:00;1.3;39.28111889
1900-01-01 21:00:00+01:00;1.6;39.5196474
1900-01-01 22:00:00+01:00;1.8;39.07392565
1900-01-01 23:00:00+01:00;2;35.61445738
1900-01-02 00:00:00+01:00;2.6;31.39504452
1900-01-02 01:00:00+01:00;3.1;29.78397821
1900-01-02 02:00:00+01:00;3.2;28.72217906
1900-01-02 03:00:00+01:00;2.7;28.66023164
1900-01-02 04:00:00+01:00;2.9;29.45403429
1900-01-02 05:00:00+01:00;3;31.78863905
1900-01-02 06:00:00+01:00;3.4;41.05495355
1900-01-02 07:00:00+01:00;3.3;51.14240409
1900-01-02 08:00:00+01:00;3;46.94376783
1900-01-02 09:00:00+01:00;2.6;41.51530149
1900-01-02 10:00:00+01:00;2.5;39.43286633
1900-01-02 11:00:00+01:00;2.7;37.4743125
1900-01-02 12:00:00+01:00;2.6;36.12921473
1900-01-02 13:00:00+01:00;2;36.00012843
1900-01-02 14:00:00+01:00;1.8;35.54696348
1900-01-02 15:00:00+01:00;2.3;35.18014923
1900-01-02 16:00:00+01:00;3.4;34.90010583
1900-01-02 17:00:00+01:00;3.5;36.03048753
