TimeStamp;Tout;ElImp
1900-01-01 00:00:00+01:00;-0.8;19.36508803
1900-01-01 01:00:00+01:00;-0.7;19.75029742
1900-01-01 02:00:00+01:00;-0.3;19.91135026
1900-01-01 03:00:00+01:00;-0.3;20.25919004
1900-01-01 04:00:00+01:00;-0.8;21.67419477
1900-01-01 05:00:00+01:00;-0.5;25.98328724
1900-01-01 06:00:00+01:00;-0.7;33.6173496
1900-01-01 07:00:00+01:00;-0.6;45.91205867
1900-01-01 08:00:00+01:00;-0.7;52.37490232
1900-01-01 09:00:00+01:00;-1.2;52.93184885
1900-01-01 10:00:00+01:00;-1.7;51.32745095
1900-01-01 11:00:00+01:00;-1.9;51.63432707
1900-01-01 12:00:00+01:00;-2.4;51.20129108
1900-01-01 13:00:00+01:00;-2.3;48.34973866
1900-01-01 14:00:00+01:00;-2;48.6565115
1900-01-01 15:00:00+01:00;-0.3;45.55689668
1900-01-01 16:00:00+01:00;0;36.23400766
1900-01-01 17:00:00+01:00;0.2;25.53652856
1900-01-01 18:00:00+01:00;0.7;20.47267737
1900-01-01 19:00:00+01:00;1.1;19.63401788
1900-01-01 20:00:00+01:00;1.3;19.16415922
1900-01-01 21:00:00+01:00;1.6;19.24508766
1900-01-01 22:00:00+01:00;1.8;18.17609422
1900-01-01 23:00:00+01:00;2;18.31679975
1900-01-02 00:00:00+01:00;2.6;18.1304114
1900-01-02 01:00:00+01:00;3.1;18.28478325
1900-01-02 02:00:00+01:00;3.2;18.44272354
1900-01-02 03:00:00+01:00;2.7;18.81154619
1900-01-02 04:00:00+01:00;2.9;20.02138797
1900-01-02 05:00:00+01:00;3;24.27440578
1900-01-02 06:00:00+01:00;3.4;30.35232667
1900-01-02 07:00:00+01:00;3.3;41.56946856
1900-01-02 08:00:00+01:00;3;47.64166268
1900-01-02 09:00:00+01:00;2.6;47.95658569
1900-01-02 10:00:00+01:00;2.5;46.11450437
1900-01-02 11:00:00+01:00;2.7;45.59060392
1900-01-02 12:00:00+01:00;2.6;44.63688553
1900-01-02 13:00:00+01:00;2;42.7146831
1900-01-02 14:00:00+01:00;1.8;43.10853142
1900-01-02 15:00:00+01:00;2.3;41.24010311
1900-01-02 16:00:00+01:00;3.4;32.13774834
1900-01-02 17:00:00+01:00;3.5;22.40994056
1900-01-02 18:00:00+01:00;2.5;17.9827464
1900-01-02 19:00:00+01:00;1.7;17.65058099
1900-01-02 20:00:00+01:00;2.1;17.02097761
1900-01-02 21:00:00+01:00;2;17.21829486
1900-01-02 22:00:00+01:00;2.1;16.17936018
1900-01-02 23:00:00+01:00;2.1;16.3344208
1900-01-03 00:00:00+01:00;1.9;16.4991618
1900-01-03 01:00:00+01:00;2.2;16.81047422
1900-01-03 02:00:00+01:00;1.6;17.29974708
1900-01-03 03:00:00+01:00;1.7;17.59433562
1900-01-03 04:00:00+01:00;1.6;18.75796481
1900-01-03 05:00:00+01:00;1.3;22.65635122
1900-01-03 06:00:00+01:00;1;29.58842896
1900-01-03 07:00:00+01:00;1.4;40.89896047
1900-01-03 08:00:00+01:00;1.5;47.59245668
1900-01-03 09:00:00+01:00;1.6;47.9110511
1900-01-03 10:00:00+01:00;1.4;46.43861837
1900-01-03 11:00:00+01:00;1.1;46.75332783
1900-01-03 12:00:00+01:00;1.2;45.876197
1900-01-03 13:00:00+01:00;0.9;43.76333986
1900-01-03 14:00:00+01:00;1.2;43.87820105
1900-01-03 15:00:00+01:00;1;42.86394126
1900-01-03 16:00:00+01:00;0.6;34.73452953
1900-01-03 17:00:00+01:00;0.3;24.4246648
1900-01-03 18:00:00+01:00;0.6;19.34448807
1900-01-03 19:00:00+01:00;0.5;18.76170389
1900-01-03 20:00:00+01:00;0.6;18.307717
1900-01-03 21:00:00+01:00;0.4;18.62188891
1900-01-03 22:00:00+01:00;0;17.63356123
1900-01-03 23:00:00+01:00;-0.3;17.93920038
1900-01-04 00:00:00+01:00;-0.1;18.05044862
1900-01-04 01:00:00+01:00;0;18.4750048
1900-01-04 02:00:00+01:00;0.3;18.71124777
1900-01-04 03:00:00+01:00;0.3;19.08052853
1900-01-04 04:00:00+01:00;0.3;20.32161052
