TimeStamp;Tout;ElImp
1900-01-01 00:00:00+01:00;-0.8;17.049827
1900-01-01 01:00:00+01:00;-0.7;16.927993
1900-01-01 02:00:00+01:00;-0.3;16.889632
1900-01-01 03:00:00+01:00;-0.3;16.887383
1900-01-01 04:00:00+01:00;-0.8;16.988329
1900-01-01 05:00:00+01:00;-0.5;17.897246
1900-01-01 06:00:00+01:00;-0.7;21.363795
1900-01-01 07:00:00+01:00;-0.6;25.65999
1900-01-01 08:00:00+01:00;-0.7;28.833099
1900-01-01 09:00:00+01:00;-1.2;30.315795
1900-01-01 10:00:00+01:00;-1.7;30.67332
1900-01-01 11:00:00+01:00;-1.9;30.88895
1900-01-01 12:00:00+01:00;-2.4;30.83782
1900-01-01 13:00:00+01:00;-2.3;30.54232
1900-01-01 14:00:00+01:00;-2;29.993679
1900-01-01 15:00:00+01:00;-0.3;28.883133
1900-01-01 16:00:00+01:00;0;26.609758
1900-01-01 17:00:00+01:00;0.2;24.010435
1900-01-01 18:00:00+01:00;0.7;22.163733
1900-01-01 19:00:00+01:00;1.1;20.7035949
1900-01-01 20:00:00+01:00;1.3;19.4273567
1900-01-01 21:00:00+01:00;1.6;18.490883
1900-01-01 22:00:00+01:00;1.8;17.855283
1900-01-01 23:00:00+01:00;2;17.390515
1900-01-02 00:00:00+01:00;2.6;17.049827
1900-01-02 01:00:00+01:00;3.1;16.927993
1900-01-02 02:00:00+01:00;3.2;16.889632
1900-01-02 03:00:00+01:00;2.7;16.887383
1900-01-02 04:00:00+01:00;2.9;16.988329
1900-01-02 05:00:00+01:00;3;17.897246
1900-01-02 06:00:00+01:00;3.4;21.363795
1900-01-02 07:00:00+01:00;3.3;25.65999
1900-01-02 08:00:00+01:00;3;28.833099
1900-01-02 09:00:00+01:00;2.6;30.315795
1900-01-02 10:00:00+01:00;2.5;30.67332
1900-01-02 11:00:00+01:00;2.7;30.88895
1900-01-02 12:00:00+01:00;2.6;30.83782
1900-01-02 13:00:00+01:00;2;30.54232
