TimeStamp;Tout;ElImp
1900-01-01 00:00:00+01:00;-0.8;11.6887498
1900-01-01 01:00:00+01:00;-0.7;11.50954312
1900-01-01 02:00:00+01:00;-0.3;11.44026924
1900-01-01 03:00:00+01:00;-0.3;11.42022884
1900-01-01 04:00:00+01:00;-0.8;11.59679764
1900-01-01 05:00:00+01:00;-0.5;12.31055244
1900-01-01 06:00:00+01:00;-0.7;14.92918268
1900-01-01 07:00:00+01:00;-0.6;18.76653443
1900-01-01 08:00:00+01:00;-0.7;21.7952933
1900-01-01 09:00:00+01:00;-1.2;23.48392056
1900-01-01 10:00:00+01:00;-1.7;24.4276515
1900-01-01 11:00:00+01:00;-1.9;24.5299321
1900-01-01 12:00:00+01:00;-2.4;24.61876848
1900-01-01 13:00:00+01:00;-2.3;24.393208
1900-01-01 14:00:00+01:00;-2;23.8731577
1900-01-01 15:00:00+01:00;-0.3;23.05940133
1900-01-01 16:00:00+01:00;0;21.27450497
1900-01-01 17:00:00+01:00;0.2;19.23170385
1900-01-01 18:00:00+01:00;0.7;17.89775954
1900-01-01 19:00:00+01:00;1.1;16.78427115
1900-01-01 20:00:00+01:00;1.3;15.41325619
1900-01-01 21:00:00+01:00;1.6;13.98000764
1900-01-01 22:00:00+01:00;1.8;12.94605369
1900-01-01 23:00:00+01:00;2;12.23925112
1900-01-02 00:00:00+01:00;2.6;11.64827635
1900-01-02 01:00:00+01:00;3.1;11.46494945
1900-01-02 02:00:00+01:00;3.2;11.39711729
1900-01-02 03:00:00+01:00;2.7;11.38347082
1900-01-02 04:00:00+01:00;2.9;11.54757287
1900-01-02 05:00:00+01:00;3;12.26523616
1900-01-02 06:00:00+01:00;3.4;14.85609084
1900-01-02 07:00:00+01:00;3.3;18.67856809
1900-01-02 08:00:00+01:00;3;21.6886294
1900-01-02 09:00:00+01:00;2.6;23.38214474
1900-01-02 10:00:00+01:00;2.5;24.31556159
1900-01-02 11:00:00+01:00;2.7;24.41758549
1900-01-02 12:00:00+01:00;2.6;24.49101109
1900-01-02 13:00:00+01:00;2;24.28134704
1900-01-02 14:00:00+01:00;1.8;23.7960284
1900-01-02 15:00:00+01:00;2.3;23.01603847
1900-01-02 16:00:00+01:00;3.4;21.23435763
1900-01-02 17:00:00+01:00;3.5;19.1940467
1900-01-02 18:00:00+01:00;2.5;17.87087342
1900-01-02 19:00:00+01:00;1.7;16.77505576
1900-01-02 20:00:00+01:00;2.1;15.40247622
1900-01-02 21:00:00+01:00;2;13.97500214
1900-01-02 22:00:00+01:00;2.1;12.94283861
1900-01-02 23:00:00+01:00;2.1;12.23809972
1900-01-03 00:00:00+01:00;1.9;11.65660912
1900-01-03 01:00:00+01:00;2.2;11.47551111
1900-01-03 02:00:00+01:00;1.6;11.41684389
1900-01-03 03:00:00+01:00;1.7;11.39572349
1900-01-03 04:00:00+01:00;1.6;11.56486806
1900-01-03 05:00:00+01:00;1.3;12.28724693
1900-01-03 06:00:00+01:00;1;14.89887631
1900-01-03 07:00:00+01:00;1.4;18.72142348
1900-01-03 08:00:00+01:00;1.5;21.73187152
1900-01-03 09:00:00+01:00;1.6;23.40892785
1900-01-03 10:00:00+01:00;1.4;24.34491847
1900-01-03 11:00:00+01:00;1.1;24.45666257
1900-01-03 12:00:00+01:00;1.2;24.52678316
1900-01-03 13:00:00+01:00;0.9;24.30996264
1900-01-03 14:00:00+01:00;1.2;23.80820671
1900-01-03 15:00:00+01:00;1;23.0377199
1900-01-03 16:00:00+01:00;0.6;21.26742015
1900-01-03 17:00:00+01:00;0.3;19.23056272
1900-01-03 18:00:00+01:00;0.6;17.89925321
1900-01-03 19:00:00+01:00;0.5;16.79348653
1900-01-03 20:00:00+01:00;0.6;15.42268866
1900-01-03 21:00:00+01:00;0.4;13.99502415
1900-01-03 22:00:00+01:00;0;12.96534414
1900-01-03 23:00:00+01:00;-0.3;12.26573326
1900-01-04 00:00:00+01:00;-0.1;11.68041703
1900-01-04 01:00:00+01:00;0;11.5013285
1900-01-04 02:00:00+01:00;0.3;11.43287176
1900-01-04 03:00:00+01:00;0.3;11.41287723
1900-01-04 04:00:00+01:00;0.3;11.58216324
1900-01-04 05:00:00+01:00;0.1;12.30278394
1900-01-04 06:00:00+01:00;0.2;14.91313813
1900-01-04 07:00:00+01:00;0.1;18.7507456
1900-01-04 08:00:00+01:00;0.7;21.75493398
1900-01-04 09:00:00+01:00;-0.1;23.45445914
1900-01-04 10:00:00+01:00;-0.3;24.3902882
1900-01-04 11:00:00+01:00;-1;24.50795124
1900-01-04 12:00:00+01:00;-0.3;24.56511038
1900-01-04 13:00:00+01:00;-1;24.35938957
1900-01-04 14:00:00+01:00;-1.2;23.85691995
