TimeStamp;Tout;ElImp
1900-01-01 00:00:00+01:00;-0.8;25.21293005
1900-01-01 01:00:00+01:00;-0.7;25.1991397
1900-01-01 02:00:00+01:00;-0.3;25.13736383
1900-01-01 03:00:00+01:00;-0.3;25.19641713
1900-01-01 04:00:00+01:00;-0.8;26.04538777
1900-01-01 05:00:00+01:00;-0.5;27.3614797
1900-01-01 06:00:00+01:00;-0.7;34.26412674
1900-01-01 07:00:00+01:00;-0.6;41.40504865
1900-01-01 08:00:00+01:00;-0.7;45.70509661
1900-01-01 09:00:00+01:00;-1.2;48.04386867
1900-01-01 10:00:00+01:00;-1.7;50.07338913
1900-01-01 11:00:00+01:00;-1.9;50.0756501
1900-01-01 12:00:00+01:00;-2.4;50.04218767
1900-01-01 13:00:00+01:00;-2.3;49.66446223
1900-01-01 14:00:00+01:00;-2;49.13293435
1900-01-01 15:00:00+01:00;-0.3;47.60369376
1900-01-01 16:00:00+01:00;0;44.69380835
1900-01-01 17:00:00+01:00;0.2;41.45429169
1900-01-01 18:00:00+01:00;0.7;39.24509429
1900-01-01 19:00:00+01:00;1.1;37.08898434
1900-01-01 20:00:00+01:00;1.3;33.15724545
1900-01-01 21:00:00+01:00;1.6;28.91108393
1900-01-01 22:00:00+01:00;1.8;25.87106183
1900-01-01 23:00:00+01:00;2;24.77983334
1900-01-02 00:00:00+01:00;2.6;23.73414604
1900-01-02 01:00:00+01:00;3.1;23.54494461
1900-01-02 02:00:00+01:00;3.2;23.58005732
1900-01-02 03:00:00+01:00;2.7;23.63507702
1900-01-02 04:00:00+01:00;2.9;24.14373909
1900-01-02 05:00:00+01:00;3;25.07000466
1900-01-02 06:00:00+01:00;3.4;31.14662584
1900-01-02 07:00:00+01:00;3.3;37.98964066
1900-01-02 08:00:00+01:00;3;42.05521384
1900-01-02 09:00:00+01:00;2.6;44.17938738
1900-01-02 10:00:00+01:00;2.5;45.75753996
1900-01-02 11:00:00+01:00;2.7;45.28524657
1900-01-02 12:00:00+01:00;2.6;44.83714641
1900-01-02 13:00:00+01:00;2;44.71949346
1900-01-02 14:00:00+01:00;1.8;44.30846479
1900-01-02 15:00:00+01:00;2.3;43.38794803
1900-01-02 16:00:00+01:00;3.4;40.38536446
1900-01-02 17:00:00+01:00;3.5;37.44133216
1900-01-02 18:00:00+01:00;2.5;36.01023636
1900-01-02 19:00:00+01:00;1.7;34.61872402
1900-01-02 20:00:00+01:00;2.1;30.81648152
1900-01-02 21:00:00+01:00;2;26.84993515
1900-01-02 22:00:00+01:00;2.1;23.82478567
1900-01-02 23:00:00+01:00;2.1;22.75036915
1900-01-03 00:00:00+01:00;1.9;22.22143635
1900-01-03 01:00:00+01:00;2.2;22.19789996
1900-01-03 02:00:00+01:00;1.6;22.48699965
1900-01-03 03:00:00+01:00;1.7;22.55501881
1900-01-03 04:00:00+01:00;1.6;23.3404622
1900-01-03 05:00:00+01:00;1.3;24.77822986
1900-01-03 06:00:00+01:00;1;31.03886354
1900-01-03 07:00:00+01:00;1.4;37.79460768
1900-01-03 08:00:00+01:00;1.5;41.99440438
1900-01-03 09:00:00+01:00;1.6;43.95289948
1900-01-03 10:00:00+01:00;1.4;45.78529032
1900-01-03 11:00:00+01:00;1.1;45.93094538
1900-01-03 12:00:00+01:00;1.2;45.58190785
1900-01-03 13:00:00+01:00;0.9;45.44836272
1900-01-03 14:00:00+01:00;1.2;44.90098329
1900-01-03 15:00:00+01:00;1;44.51063134
1900-01-03 16:00:00+01:00;0.6;42.22089476
1900-01-03 17:00:00+01:00;0.3;39.66764164
1900-01-03 18:00:00+01:00;0.6;37.70090745
1900-01-03 19:00:00+01:00;0.5;35.96114257
1900-01-03 20:00:00+01:00;0.6;32.22003874
1900-01-03 21:00:00+01:00;0.4;28.22703254
1900-01-03 22:00:00+01:00;0;25.40763187
1900-01-03 23:00:00+01:00;-0.3;24.50855276
1900-01-04 00:00:00+01:00;-0.1;23.8864377
1900-01-04 01:00:00+01:00;0;23.93466857
1900-01-04 02:00:00+01:00;0.3;23.92696162
1900-01-04 03:00:00+01:00;0.3;24.04693529
1900-01-04 04:00:00+01:00;0.3;24.79288082
1900-01-04 05:00:00+01:00;0.1;26.27555869
1900-01-04 06:00:00+01:00;0.2;32.72075401
1900-01-04 07:00:00+01:00;0.1;39.8707417
1900-01-04 08:00:00+01:00;0.7;43.79362956
1900-01-04 09:00:00+01:00;-0.1;46.34002952
1900-01-04 10:00:00+01:00;-0.3;48.22498258
1900-01-04 11:00:00+01:00;-1;48.59727054
1900-01-04 12:00:00+01:00;-0.3;47.85711223
1900-01-04 13:00:00+01:00;-1;47.98807428
1900-01-04 14:00:00+01:00;-1.2;47.80131831
1900-01-04 15:00:00+01:00;-1.2;47.2913907
1900-01-04 16:00:00+01:00;-4.3;45.97892015
1900-01-04 17:00:00+01:00;-3.5;42.83671666
1900-01-04 18:00:00+01:00;-3;40.79374648
1900-01-04 19:00:00+01:00;-5.5;40.2398522
1900-01-04 20:00:00+01:00;-2.1;34.67900505
1900-01-04 21:00:00+01:00;-0.7;29.89622665
1900-01-04 22:00:00+01:00;2.9;25.65723436
1900-01-04 23:00:00+01:00;3.5;24.43914133
1900-01-05 00:00:00+01:00;3.8;23.51876499
1900-01-05 01:00:00+01:00;4.3;23.33518079
1900-01-05 02:00:00+01:00;4.2;23.45858926
1900-01-05 03:00:00+01:00;3.8;23.43202615
1900-01-05 04:00:00+01:00;4;23.92045643
1900-01-05 05:00:00+01:00;4.8;24.37298277
1900-01-05 06:00:00+01:00;4.6;30.70954254
1900-01-05 07:00:00+01:00;4.4;37.56225201
1900-01-05 08:00:00+01:00;4.9;41.06007897
1900-01-05 09:00:00+01:00;4.6;43.12314311
1900-01-05 10:00:00+01:00;4.7;44.54498465
1900-01-05 11:00:00+01:00;5;43.86584957
1900-01-05 12:00:00+01:00;5.2;43.2238108
1900-01-05 13:00:00+01:00;5.6;42.47830483
1900-01-05 14:00:00+01:00;5.8;41.62734219
1900-01-05 15:00:00+01:00;6.7;40.43355571
1900-01-05 16:00:00+01:00;5.7;38.72791938
1900-01-05 17:00:00+01:00;6;35.52306744
1900-01-05 18:00:00+01:00;7;32.89436718
1900-01-05 19:00:00+01:00;10.7;28.99090941
1900-01-05 20:00:00+01:00;7.9;26.93597474
1900-01-05 21:00:00+01:00;6.5;23.67139147
1900-01-05 22:00:00+01:00;6.4;20.71495415
1900-01-05 23:00:00+01:00;5.5;19.84459509
1900-01-06 00:00:00+01:00;5.4;19.03531487
1900-01-06 01:00:00+01:00;3.4;19.42030091
1900-01-06 02:00:00+01:00;1.8;20.10709619
1900-01-06 03:00:00+01:00;1.5;19.9051672
1900-01-06 04:00:00+01:00;2.8;19.07164307
1900-01-06 05:00:00+01:00;1.3;20.02337768
1900-01-06 06:00:00+01:00;0.5;21.64401094
1900-01-06 07:00:00+01:00;0.4;24.10700997
1900-01-06 08:00:00+01:00;-1;28.13630563
1900-01-06 09:00:00+01:00;-1.5;33.30427969
1900-01-06 10:00:00+01:00;2.2;34.22144067
1900-01-06 11:00:00+01:00;2.4;34.7398196
1900-01-06 12:00:00+01:00;2.5;34.57386193
1900-01-06 13:00:00+01:00;3.6;33.63814778
1900-01-06 14:00:00+01:00;5.1;31.92123633
1900-01-06 15:00:00+01:00;4;31.50734967
1900-01-06 16:00:00+01:00;3.7;30.31929995
1900-01-06 17:00:00+01:00;5.3;28.30145555
1900-01-06 18:00:00+01:00;5;26.24383293
1900-01-06 19:00:00+01:00;3.9;24.53640266
1900-01-06 20:00:00+01:00;3.7;22.860624
1900-01-06 21:00:00+01:00;4.1;21.45786794
1900-01-06 22:00:00+01:00;3.6;21.33558848
1900-01-06 23:00:00+01:00;1.1;22.33351272
1900-01-07 00:00:00+01:00;2;21.66401267
1900-01-07 01:00:00+01:00;2.3;21.80290507
1900-01-07 02:00:00+01:00;2;21.6184582
1900-01-07 03:00:00+01:00;1.7;20.90474839
1900-01-07 04:00:00+01:00;2.1;20.52102531
1900-01-07 05:00:00+01:00;2;20.62560127
1900-01-07 06:00:00+01:00;1.1;21.47335198
1900-01-07 07:00:00+01:00;1.9;21.54167033
1900-01-07 08:00:00+01:00;0.5;22.43225541
1900-01-07 09:00:00+01:00;0.8;22.06378088
1900-01-07 10:00:00+01:00;1.1;22.01795409
1900-01-07 11:00:00+01:00;1.7;21.9248503
1900-01-07 12:00:00+01:00;2.4;21.64700318
1900-01-07 13:00:00+01:00;3;21.52471475
1900-01-07 14:00:00+01:00;1.8;22.36647048
1900-01-07 15:00:00+01:00;1.4;22.89301009
1900-01-07 16:00:00+01:00;0.8;22.98716996
1900-01-07 17:00:00+01:00;1.3;22.55887435
1900-01-07 18:00:00+01:00;-0.3;23.06391115
1900-01-07 19:00:00+01:00;-2.5;23.48513264
1900-01-07 20:00:00+01:00;-4.5;23.41072839
1900-01-07 21:00:00+01:00;-5;24.06396647
1900-01-07 22:00:00+01:00;-4.6;24.0580872
1900-01-07 23:00:00+01:00;-7.3;25.19453404
1900-01-08 00:00:00+01:00;-7.6;27.04772272
1900-01-08 01:00:00+01:00;-6.6;26.88064191
1900-01-08 02:00:00+01:00;-5.1;26.51266065
1900-01-08 03:00:00+01:00;-8;27.90319767
1900-01-08 04:00:00+01:00;-7.8;28.89252433
1900-01-08 05:00:00+01:00;-8.8;31.82886156
1900-01-08 06:00:00+01:00;-8;39.15552757
1900-01-08 07:00:00+01:00;-3.4;44.59106092
1900-01-08 08:00:00+01:00;-3.5;49.17583508
1900-01-08 09:00:00+01:00;-3.5;51.44091187
1900-01-08 10:00:00+01:00;-3.4;53.3237808
1900-01-08 11:00:00+01:00;-2;52.33908856
1900-01-08 12:00:00+01:00;0;50.78472832
