TimeStamp;Tout;ElImp
1900-01-01 00:00:00+01:00;-0.8;9.64108
1900-01-01 01:00:00+01:00;-0.7;9.385228
1900-01-01 02:00:00+01:00;-0.3;9.321358
1900-01-01 03:00:00+01:00;-0.3;9.303854
1900-01-01 04:00:00+01:00;-0.8;9.54541
1900-01-01 05:00:00+01:00;-0.5;10.363691
1900-01-01 06:00:00+01:00;-0.7;13.5274489
1900-01-01 07:00:00+01:00;-0.6;18.092298
1900-01-01 08:00:00+01:00;-0.7;21.030319
1900-01-01 09:00:00+01:00;-1.2;23.05201
1900-01-01 10:00:00+01:00;-1.7;24.84882
1900-01-01 11:00:00+01:00;-1.9;25.05221
1900-01-01 12:00:00+01:00;-2.4;25.15671
1900-01-01 13:00:00+01:00;-2.3;25.11921
1900-01-01 14:00:00+01:00;-2;24.97428
1900-01-01 15:00:00+01:00;-0.3;24.81357
1900-01-01 16:00:00+01:00;0;23.41507
1900-01-01 17:00:00+01:00;0.2;21.288165
1900-01-01 18:00:00+01:00;0.7;19.800912
1900-01-01 19:00:00+01:00;1.1;18.402104
1900-01-01 20:00:00+01:00;1.3;16.13427
1900-01-01 21:00:00+01:00;1.6;13.5223135
1900-01-01 22:00:00+01:00;1.8;11.653114
1900-01-01 23:00:00+01:00;2;10.539138
1900-01-02 00:00:00+01:00;2.6;9.64108
1900-01-02 01:00:00+01:00;3.1;9.385228
1900-01-02 02:00:00+01:00;3.2;9.321358
1900-01-02 03:00:00+01:00;2.7;9.303854
1900-01-02 04:00:00+01:00;2.9;9.54541
1900-01-02 05:00:00+01:00;3;10.363691
1900-01-02 06:00:00+01:00;3.4;13.5274489
1900-01-02 07:00:00+01:00;3.3;18.092298
1900-01-02 08:00:00+01:00;3;21.030319
1900-01-02 09:00:00+01:00;2.6;23.05201
1900-01-02 10:00:00+01:00;2.5;24.84882
1900-01-02 11:00:00+01:00;2.7;25.05221
1900-01-02 12:00:00+01:00;2.6;25.15671
1900-01-02 13:00:00+01:00;2;25.11921
1900-01-02 14:00:00+01:00;1.8;24.97428
1900-01-02 15:00:00+01:00;2.3;24.81357
1900-01-02 16:00:00+01:00;3.4;23.41507
1900-01-02 17:00:00+01:00;3.5;21.288165
1900-01-02 18:00:00+01:00;2.5;19.800912
1900-01-02 19:00:00+01:00;1.7;18.402104
1900-01-02 20:00:00+01:00;2.1;16.13427
1900-01-02 21:00:00+01:00;2;13.5223135
1900-01-02 22:00:00+01:00;2.1;11.653114
1900-01-02 23:00:00+01:00;2.1;10.539138
1900-01-03 00:00:00+01:00;1.9;9.64108
1900-01-03 01:00:00+01:00;2.2;9.385228
1900-01-03 02:00:00+01:00;1.6;9.321358
1900-01-03 03:00:00+01:00;1.7;9.303854
1900-01-03 04:00:00+01:00;1.6;9.54541
1900-01-03 05:00:00+01:00;1.3;10.363691
1900-01-03 06:00:00+01:00;1;13.5274489
1900-01-03 07:00:00+01:00;1.4;18.092298
1900-01-03 08:00:00+01:00;1.5;21.030319
1900-01-03 09:00:00+01:00;1.6;23.05201
1900-01-03 10:00:00+01:00;1.4;24.84882
1900-01-03 11:00:00+01:00;1.1;25.05221
1900-01-03 12:00:00+01:00;1.2;25.15671
